Bezeichner,Gehäuse,Stückzahl,Bezeichnung,Anbieter und Ref
C1,cp_smd_6.3,1,10µF,
"C4,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15",SM0805,4,100nF,
"C2,C3",SM0805,2,27pF,
C5,SM0805,1,33nF,
"D1,D2,D3,D4",LED_3MM,4,"LED 3mm yellow 2,1V 2mA",
D5,LED_3MM,1,"LED 3mm green 2,2V 2mA",
D6,LED_3MM,1,LED 3mm red 2V 2mA,
J1,USB2.0_micro_THT_vertical_GCT_USB3145,1,GCT Micro USB 2.0 Type B vertical THT (USB3145),
MOD1,bus-module_atmega324,1,bus-module_atmega324,
"R1,R2",SM0805,2,27,
"R10,R11",SM0805,2,560,
"R3,R6,R7,R8,R9",SM0805,5,1k5,
R4,SM0805,1,10k,
R5,SM0805,1,470,
U1,HC49-SMD,1,6MHz,
U2,LQFP-48_7x7mm_Pitch0.5mm,1,FT2232D,
"U3,U4,U5,U6",SO8E,4,ADuM1201,
